intent,text,response
isim_degistirme,"Yabancı bir ülkede isim değiştiren bir Türk vatandaşının bu isim değişikliği Türkiye'de doğrudan geçerli olur mu, yoksa burada da hukuki işlem yapması gerekir mi? ","Yabancı bir ülkede, o ülkenin kanunlarına göre yapılan isim değişikliği, Türkiye'de doğrudan geçerlilik kazanmaz. Bu isim değişikliğinin Türkiye'de de tanınması ve nüfus kayıtlarına işlenmesi için, Türk vatandaşının Türkiye'de dava açarak veya idari yolları kullanarak bu değişikliği tescil ettirmesi gerekir. Genellikle Nüfus Müdürlükleri aracılığıyla veya Türk konsoloslukları/büyükelçilikleri üzerinden yapılan bildirimlerle ve gerekli evrakların sunulmasıyla bu tescil işlemi gerçekleştirilir. Ancak bazı durumlarda, özellikle ispat zorluğu varsa, mahkeme kararı gerekebilir. Kaynak: Milletlerarası Özel Hukuk ve Usul Hukuku Hakkında Kanun (MÖHUK) ve Nüfus Hizmetleri Kanunu. "
isim_degistirme,"İsim değiştirme davası devam ederken, davacının vefat etmesi durumunda dava düşer mi, yoksa mirasçılar davayı devam ettirebilir mi? ","İsim değiştirme davası, kişiye sıkı sıkıya bağlı haklardan biridir. Yani, bu dava yalnızca ismini değiştirmek isteyen kişi tarafından açılabilir ve onun şahsıyla sınırlıdır. Dolayısıyla, dava devam ederken davacının vefat etmesi durumunda dava konusuz kalır ve düşer. Mirasçılar, ölen kişinin isim değişikliği davasını devam ettirme veya onun yerine bu talebi sürdürme hakkına sahip değildirler. Kaynak: Hukuk Muhakemeleri Kanunu (HMK) ve Türk Medeni Kanunu (TMK). "
isim_degistirme,"Bir kişi, ismini değiştirmeden önce kullandığı tüm resmi belgelerde (tapu, diploma, pasaport vb.) isim değişikliğinin otomatik olarak güncellenmesini bekleyebilir mi, yoksa her kurumla ayrı ayrı iletişime geçmeli midir? ","İsim değişikliği mahkeme kararı ile kesinleştikten sonra, nüfus kayıtları otomatik olarak güncellenir. Ancak, diğer resmi belgeler (tapu kayıtları, diplomalar, banka hesapları, ehliyet, pasaport, abonelikler vb.) otomatik olarak güncellenmez. Kişi, isim değişikliği kararının kesinleşme belgesi ve yeni kimliği ile ilgili tüm kurumlara ayrı ayrı başvurarak belgelerinin güncellenmesini talep etmelidir. Bu, kişinin sorumluluğundadır ve gerekli güncellemeler yapılmadığı takdirde ileride hukuki sorunlar yaşanabilir. Kaynak: İdari ve hukuki süreçlerin uygulama esasları. "
isim_degistirme,"İsmini değiştiren bir kişinin, geçmişte işlediği suç kayıtları veya hukuki sorumlulukları (borçlar, davalar) yeni ismiyle de takip edilebilir mi ve bu bilgiler yeni isme otomatik olarak aktarılır mı? ","Evet, bir kişinin ismini değiştirmesi, onun geçmişteki hukuki sorumluluklarını, borçlarını veya suç kayıtlarını ortadan kaldırmaz. İsim değişikliği, kişinin kimlik bilgilerini günceller, ancak hukuki geçmişini silmez. Türkiye'deki kayıt sistemleri (Uyap, Adli Sicil Kayıtları vb.) bu değişiklikleri takip edebilecek şekilde entegredir. Mahkeme kararı ile yapılan isim değişiklikleri, ilgili kurumlar tarafından (Adli Sicil Genel Müdürlüğü, Emniyet Genel Müdürlüğü vb.) tescil edilir ve kişinin geçmiş kayıtları yeni ismiyle ilişkilendirilir. Dolayısıyla, kişi yeni ismiyle de hukuki sorumluluklarından veya geçmişteki suçlarından sorumlu olmaya devam eder. Kaynak: Türk Medeni Kanunu (TMK), Nüfus Hizmetleri Kanunu ve Adli Sicil Kanunu. "
isim_degistirme,"Bir çocuğun, ergin olmadan (18 yaşını doldurmadan) önce isim değişikliği yapılabilir mi ve bu durumda anne ile babanın rızası nasıl aranır? ","Evet, bir çocuğun ergin olmadan önce isim değişikliği yapılabilir. Bu durumda, çocuğun menfaati gözetilir. Türk Medeni Kanunu'na göre, hem anne hem de babanın rızası gereklidir. Eğer anne ve baba bu konuda anlaşamazlarsa veya rıza vermezlerse, çocuğun menfaatleri doğrultusunda mahkemeden izin istenebilir. Mahkeme, çocuğun yaş ve olgunluk seviyesine göre onun da görüşünü alabilir ve ismin değiştirilmesinin çocuğun üstün menfaatine olup olmadığını değerlendirir. Kaynak: Türk Medeni Kanunu (TMK) m. 27, 335 ve Yargıtay içtihatları. "
isim_degistirme,"İsim değişikliği davası sırasında, davacıdan ispat yükü olarak ne gibi belgeler veya deliller istenir? Örneğin, ""haklı neden"" kavramı nasıl somutlaştırılır? ","İsim değiştirme davasında, davacının ""haklı nedenin"" varlığını ispatlaması gerekir. Haklı nedenin ne olduğu kanunda açıkça tanımlanmamış olup, her somut olayın özelliklerine göre belirlenir. Nadir durumlar için haklı neden örnekleri:
Gülünç veya alay konusu olma: İsmin kişinin sosyal çevresinde alay konusu olmasına yol açtığına dair tanık beyanları, sosyal medya paylaşımları.
Kişilik gelişimini olumsuz etkileme: İsmin kişinin psikolojisini olumsuz etkilediğine dair psikolog/psikiyatr raporu.
Toplum tarafından yanlış anlaşılma: İsmin, toplumda yanlış anlaşılmalara, olumsuz çağrışımlara neden olduğuna dair örnek olaylar veya tanıklar.
Dini veya kültürel nedenler: Kişinin dinini veya kültürünü daha iyi yansıtan bir isme geçme isteği (bu genellikle tek başına yeterli olmasa da destekleyici unsur olabilir).
Karmaşık veya telaffuzu zor olması: Özellikle yabancı uyruklu olup Türk vatandaşlığına geçenlerde telaffuz zorluğu veya yazım hatalarına yol açan isimler. Davacı, bu gibi durumları tanık beyanları, belgeler, sosyal medya çıktıları veya varsa uzman raporlarıyla somutlaştırarak mahkemeye sunmalıdır. Kaynak: Türk Medeni Kanunu (TMK) m. 27 ve Yargıtay içtihatları.
"
isim_degistirme,"İsim değiştirme davası devam ederken, davacının evlenmesi veya boşanması durumunda davanın seyrini veya sonucunu etkiler mi? ","İsim değiştirme davası devam ederken evlenme veya boşanma gibi medeni durum değişiklikleri, davanın seyrini veya sonucunu doğrudan olumsuz etkilemez. Davacı evlenirse, kadın olan tarafın evlilikle birlikte edindiği soyadı hakkı ayrı bir konudur. İsim değişikliği, kişinin öz adını ilgilendirdiği için, medeni durum değişikliğinden bağımsız olarak değerlendirilir. Ancak, davanın sonucunda verilecek isim değişikliği kararı, yeni medeni durumuna göre nüfus kayıtlarına işlenir. Örneğin, kadın davacı dava sürerken evlenirse, yeni soyadı ile birlikte yeni adını da taşıyacaktır. Mahkeme, bu tür değişiklikleri dikkate alarak yargılamayı sürdürür. Kaynak: Türk Medeni Kanunu (TMK) m. 27, 187. "
isim_degistirme,"İsim değiştirme davasında, avukat tutma zorunluluğu var mıdır ve avukat tutulmazsa davanın kazanılma şansı nasıl etkilenir? ","İsim değiştirme davasında avukat tutma zorunluluğu bulunmamaktadır. Kişi, davasını kendi başına (pro se) takip edebilir. Ancak, hukuki süreçlerin karmaşıklığı, ""haklı neden""in somutlaştırılması ve ispat yükünün doğru şekilde yerine getirilmesi gibi konularda bir avukatın profesyonel desteği, davanın kazanılma şansını önemli ölçüde artırır. Bir avukat, dilekçenin doğru hazırlanması, delillerin toplanması, duruşmalarda usul kurallarına uyulması ve yargıtay içtihatlarının takibi konularında müvekkiline yol gösterebilir. Avukatsız takip edilen davalarda, usul hataları veya ispat eksiklikleri nedeniyle dava reddedilebilir. Kaynak: Hukuk Muhakemeleri Kanunu (HMK) ve avukatlık mesleği uygulaması. "
isim_degistirme,"Bir kişinin, aynı anda hem ismini hem de soyadını değiştirmesi mümkün müdür ve bu durumda dava süreci nasıl işler? ","Evet, bir kişinin aynı anda hem ismini hem de soyadını değiştirmesi hukuken mümkündür. Bu durumda, açılacak dava ""ad ve soyad değişikliği davası"" olarak adlandırılır. Dava süreci, tek başına isim veya soyadı değişikliği davalarına benzer şekilde işler. Her iki değişiklik için de haklı nedenlerin (örneğin, ismin ve soyadının birlikte gülünç olması, kötü şöhret taşıması, telaffuz zorluğu vb.) mahkemeye sunulması ve ispatlanması gerekir. Mahkeme, her iki talebi de birlikte değerlendirir ve uygun görmesi halinde hem adın hem de soyadının değiştirilmesine karar verebilir. Kaynak: Türk Medeni Kanunu (TMK) m. 27 ve Yargıtay içtihatları. "
bosanma_bilgi,Evlilik sırasında eşlerden birinin kimliğini gizlemesi veya sahte kimlikle evlenmesi durumunda boşanma yerine evliliğin iptali davası mı açılmalıdır ve bunun sonuçları nelerdir? ,"Evet, bu durumda boşanma davası yerine evliliğin iptali (mutlak butlan veya nisbi butlan) davası açılmalıdır. Türk Medeni Kanunu'na göre, evlenmeye engel bir durumun varlığına rağmen evlenilmişse (örneğin eşlerden birinin kimliğini tamamen gizlemesi veya sahte kimlikle evlenmesi gibi) evlilik geçersiz sayılır. Böyle bir durumda açılacak iptal davası, evliliği başlangıcından itibaren geçersiz kılar. Boşanma davası ise, geçerli bir evliliğin hukuken sona erdirilmesidir. İptal kararının en önemli sonucu, evlilik hiç kurulmamış gibi kabul edilse de, iyi niyetli eşin ve evlilik birliğinden doğan çocukların hakları (örneğin miras, nafaka) korunur. Kaynak: Türk Medeni Kanunu (TMK) m. 145, 147, 149, 156. "
bosanma_bilgi,Boşanma davası sırasında eşlerden birinin yurt dışına yerleşmesi veya diğer eşten tamamen bağlantıyı kesmesi durumunda tebligatlar nasıl yapılır ve davanın seyri nasıl etkilenir? ,"Boşanma davası sırasında eşlerden birinin yurt dışına yerleşmesi veya bağlantıyı kesmesi, tebligat sürecini zorlaştırır. Bu durumda, Tebligat Kanunu'na göre uluslararası tebligat usulleri devreye girer. Tebligat, ilgili ülkenin konsolosluk veya diplomatik kanalları aracılığıyla yapılır ve bu süreç oldukça uzun sürebilir. Eğer tebligat yapılamazsa, mahkeme ilanen tebligat yoluna başvurabilir. Ancak, ilanen tebligatla boşanma kararı verilmesi, miras gibi bazı hukuki konularda ileride sorunlara yol açabilir. Bu durum, davanın uzamasına neden olur ve nafaka, velayet gibi konularda geçici tedbir kararlarının alınmasını gerektirebilir. Kaynak: Tebligat Kanunu ve Milletlerarası Özel Hukuk ve Usul Hukuku Hakkında Kanun (MÖHUK). "
bosanma_bilgi,"Anlaşmalı boşanma protokolünde, eşlerden birinin ""evlilik sonrası soyadımı kullanmaya devam edeceğim"" maddesi yer alıyorsa, bu madde her durumda geçerli midir ve nüfus müdürlüğü bu talebi reddedebilir mi? ","2023 yılında Türk Medeni Kanunu'nda yapılan değişiklikle, boşanan kadın artık sadece kendi kızlık soyadını kullanabileceği gibi, boşandığı eşinin soyadını kullanmaya devam etme hakkını da saklı tutmuştur. Ancak bu madde, bu hakkın her durumda geçerli olacağını garanti etmez. Eğer anlaşmalı boşanma protokolünde bu madde varsa, mahkeme bu hususu kararında belirtir. Ancak, eğer eşin soyadını kullanmaya devam etmesi, diğer eşin veya ailenin haklı menfaatlerine ciddi bir zarar veriyorsa (örneğin, şöhretin kötüye kullanılması, ticari itibarın zedelenmesi gibi), eski eş soyisim davası açarak soyadının kullanılmasının engellenmesini talep edebilir. Normal şartlarda mahkeme kararıyla onaylanan bir protokol maddesi geçerli olacaktır. Kaynak: Türk Medeni Kanunu (TMK) m. 173 ve 187. "
bosanma_bilgi,"Boşanma davası devam ederken eşlerden birinin vefat etmesi durumunda, dava ne olur ve miras hakları nasıl etkilenir? ","Boşanma davası devam ederken eşlerden birinin vefat etmesi halinde, boşanma davası konusuz kalır ve düşer. Bu durumda, ölen eşin mirasçıları, hayatta kalan eşin mirasçı sıfatını kaybedip kaybetmediği konusunda önemli bir dava açabilirler. Eğer vefat eden eşin kusurunun daha ağır olduğu ve bu davanın sonuçlanması halinde diğer eşin mirasçı olamayacağı ispatlanırsa, hayatta kalan eş mirastan mahrum bırakılabilir. Aksi takdirde, hayatta kalan eş, yasal mirasçı olarak mirastan payını alır. Kaynak: Türk Medeni Kanunu (TMK) m. 181. "
bosanma_bilgi,"Boşanma davasında nafaka bağlanmayan eş, dava bittikten ve karar kesinleştikten sonra yoksulluğa düşerse, sonradan yoksulluk nafakası talebinde bulunabilir mi? ","Evet, Türk Medeni Kanunu'na göre, boşanma hükmü kesinleştikten sonra dahi, boşanma yüzünden yoksulluğa düşen taraf, kusuru diğer taraftan daha ağır olmamak koşuluyla, sonradan yoksulluk nafakası davası açabilir. Ancak bu dava, boşanma hükmünün kesinleşmesinden itibaren bir yıl içinde açılmak zorundadır. Bu süre hak düşürücü bir süredir. Bu, tarafların ekonomik durumlarında boşanma sonrası meydana gelen beklenmedik ve kalıcı değişiklikleri telafi etmeyi amaçlayan nadir görülen bir durumdur. Kaynak: Türk Medeni Kanunu (TMK) m. 178. "
bosanma_bilgi,"Boşanma davasında, eşlerden birinin ""evliliğin devamı süresince üçüncü kişilerle cinsel ilişkiye girmesi"" gibi nadir bir zina ispatı durumunda, bu durumun davanın seyrine ve mal paylaşımına etkisi ne olur? ","Türk Medeni Kanunu'nda zina, mutlak boşanma sebeplerinden biridir. Eğer bir eşin üçüncü kişilerle evlilik birliği içerisinde cinsel ilişkiye girdiği somut ve kesin delillerle (fotoğraf, video, tanık beyanları, otel kayıtları vb.) ispatlanırsa, bu, boşanma davasının çok hızlı bir şekilde lehte sonuçlanmasını sağlar. Zina eylemi, boşanmada kusurun belirleyicisi olduğundan, zinayı yapan eş, genellikle diğer eşe tazminat (maddi ve manevi) ödemekle yükümlü olur. Mal paylaşımında ise, zina eyleminin doğrudan bir etkisi olmasa da, zina yapan eşin edinilmiş mallara katkı payı tazminatı talebi, zina eylemi nedeniyle oluşan manevi zarar tazminatıyla mahsup edilebilir veya mahkeme tarafından zinaya ilişkin aşırı kusur, mal paylaşımında hakkaniyet indirimi için bir gerekçe olarak değerlendirilebilir. Kaynak: Türk Medeni Kanunu (TMK) m. 161, 174, 236. "
bosanma_bilgi,"Evlilik birliği içinde eşlerden birinin ağır bir suç işlemesi ve uzun süreli hapis cezasına çarptırılması, boşanma davasında mutlak bir boşanma sebebi midir ve bu durum manevi tazminat talebini etkiler mi? ","Evet, Türk Medeni Kanunu'na göre, eşlerden birinin ""küçük düşürücü bir suç işlemesi"" veya ""haysiyetsiz bir yaşam sürmesi"" boşanma nedenlerinden biridir (TMK m. 163). Uzun süreli hapis cezası gerektiren ağır bir suç işlenmesi, genellikle ""küçük düşürücü suç"" ve evlilik birliğini çekilmez hale getiren bir durum olarak kabul edilir. Bu, mutlak bir boşanma sebebi olmasa da, diğer eş için evliliği çekilmez hale getiren özel bir boşanma nedeni (mutlak değil, ancak kusura dayalı özel bir neden) teşkil eder. Suç işleyen eşin kusuru ağır olduğundan, diğer eşin lehine manevi tazminat (ve eğer şartları varsa maddi tazminat) hükmedilmesi kuvvetle muhtemeldir. Kaynak: Türk Medeni Kanunu (TMK) m. 163, 174. "
bosanma_bilgi,"Boşanma davası sırasında veya sonrasında, çocukla kişisel ilişki kurmak istemeyen ebeveyn, bu talepten vazgeçebilir mi ve bu durumda nafaka yükümlülüğü devam eder mi? ","Ebeveynin çocukla kişisel ilişki kurma hakkı olduğu gibi, çocuk için de ebeveyniyle kişisel ilişki kurma hakkı vardır ve bu, çocuğun menfaatine göre düzenlenir. Bir ebeveynin çocukla kişisel ilişki kurmak istememesi veya bundan vazgeçmesi, doğrudan kendi iradesine bağlı değildir; mahkeme, çocuğun menfaatini gözeterek karar verir. Ancak, eğer ebeveyn bu hakkını kullanmak istemiyorsa, mahkeme genellikle zorlama yoluna gitmez. Çocukla kişisel ilişki kurmaktan vazgeçmek, nafaka yükümlülüğünü (iştirak nafakası) doğrudan sona erdirmez. Çünkü nafaka, çocuğun bakım ve eğitim giderlerine katkı niteliğindedir ve bu yükümlülük, çocukla kişisel ilişki kurulup kurulmadığından bağımsızdır. Kaynak: Türk Medeni Kanunu (TMK) m. 327, 328 ve Yargıtay içtihatları. "
bosanma_bilgi,"Boşanma davasında mal rejimi tasfiyesi sırasında, eşlerden birinin üçüncü kişilere yaptığı hibe (bağış) veya muvazaalı (danışıklı) devirler nasıl tespit edilir ve mal paylaşımına dahil edilebilir mi? ","Evet, evlilik birliği devam ederken veya boşanma davası açıldıktan sonra, eşlerden birinin diğer eşin mal rejimi tasfiyesinden alacağı payı azaltmak amacıyla üçüncü kişilere yaptığı karşılıksız kazandırmalar (hibe) veya muvazaalı (danışıklı) devirler, mal rejimi tasfiyesine dahil edilebilir. Bu durum, ""denkleştirme"" veya ""geri kazanım"" olarak adlandırılır. Boşanma davasıyla birlikte veya ayrı bir dava ile tasfiye davası açıldığında, mahkeme tarafından banka kayıtları, tapu kayıtları, ticaret sicil kayıtları incelenerek bu tür işlemler tespit edilebilir. Muvazaalı işlemler için tapu iptali ve tescil davası veya alacak davası açılabilir. Bu tür işlemlerin varlığı ispatlandığında, bağışlanan veya muvazaalı devredilen mallar, edinilmiş mal grubuna eklenerek tasfiye hesaplamasına dahil edilir. Kaynak: Türk Medeni Kanunu (TMK) m. 229, 230 ve 240. "
bosanma_bilgi,Evlilik birliği içinde eşlerden birinin sürekli olarak kumar oynaması veya aşırı borçlanması boşanma için bir sebep midir ve bu durum diğer eşin borçlardan sorumluluğunu nasıl etkiler? ,"Evet, eşlerden birinin sürekli kumar oynaması, alkol veya uyuşturucu bağımlılığı gibi haller nedeniyle ortak hayatın çekilmez hale gelmesi, Türk Medeni Kanunu'nda ""hayata kast, pek kötü veya onur kırıcı davranış"" (özel bir boşanma sebebi olmasa da, genellikle evlilik birliğinin sarsılması kapsamında değerlendirilir) veya ""evlilik birliğinin temelden sarsılması"" (genel boşanma sebebi) olarak değerlendirilebilir. Bu durum, diğer eş için boşanma davası açmak için haklı bir neden oluşturur. Borçlara gelince, Türk Medeni Kanunu'na göre eşler, evlilik birliğinin temsilinden doğan borçlardan müteselsilen (birlikte) sorumludur. Ancak, eşlerden birinin, diğerinin bilgisi veya rızası olmadan yaptığı aşırı ve makul olmayan borçlardan diğer eş sorumlu değildir. Kumar borçları gibi borçlar genellikle kişisel borç kabul edilir ve diğer eşi bağlamaz. Kaynak: Türk Medeni Kanunu (TMK) m. 166, 188, 200. "
bosanma_bilgi,"Boşanma davası açıldıktan sonra eşlerin tekrar bir araya gelip fiilen barışması durumunda, devam eden boşanma davasının akıbeti ne olur? ","Boşanma davası açıldıktan sonra eşlerin tekrar bir araya gelerek fiilen barışması, Türk Medeni Kanunu'nda ""davanın konusu kalmaması"" veya ""af"" olarak değerlendirilebilir. Eğer eşler, boşanma iradelerinden vazgeçtiklerini ve evlilik birliğini devam ettirme konusunda anlaştıklarını mahkemeye bildirirlerse, dava reddedilir veya davadan feragat edildiği kabul edilir. Özellikle zina veya hayata kast gibi özel boşanma sebeplerinde, bu fiili barışma veya ""af"" durumu, ilgili boşanma sebebine dayalı dava hakkını sona erdirebilir. Ancak bu durumun ispatı, mahkemece incelenir ve sadece kısa süreli bir araya gelme değil, kalıcı bir barışma ve evlilik birliğini yeniden tesis etme niyeti aranır. Kaynak: Türk Medeni Kanunu (TMK) m. 161, 162, 166. "
bosanma_bilgi,Boşanma davasında maddi ve manevi tazminat talebinde bulunmak için belirli bir süre var mıdır ve bu süreler kaçırılırsa ne olur? ,"Boşanma davası ile birlikte istenen maddi ve manevi tazminat talepleri, boşanma davasının açıldığı tarihte ileri sürülmelidir. Eğer boşanma davasıyla birlikte ileri sürülmemişse, boşanma hükmünün kesinleşmesinden itibaren bir yıl içinde ayrı bir dava ile istenebilirler. Bu bir yıllık süre, hak düşürücü bir süredir. Eğer bu bir yıllık süre kaçırılırsa, tazminat talep etme hakkı tamamen kaybedilir. Bu nedenle, boşanma kararı kesinleştikten sonra dahi, tazminat talep etme niyeti olan eşin bu süreyi çok iyi takip etmesi ve hukuki yardım alması büyük önem taşır. Kaynak: Türk Medeni Kanunu (TMK) m. 178. "
velayet_hakki,"Müşterek velayet kararı verilen bir çiftin, ortak çocuğun okul seçimi veya yurt dışı seyahatleri gibi konularda anlaşamaması durumunda hukuki süreç nasıl işler? ","Müşterek velayette, önemli konularda (eğitim, sağlık, yurt dışı seyahatleri vb.) velayet sahibi ebeveynlerin ortak karar alması esastır. Eğer okul seçimi veya yurt dışı seyahati gibi kritik konularda anlaşmazlık yaşanırsa, ebeveynlerden her biri Aile Mahkemesi'ne başvurarak hâkimden bu konuda karar vermesini talep edebilir. Hâkim, çocuğun üstün menfaatini gözeterek, bilirkişi incelemesi veya pedagog raporu alarak en uygun kararı verir. Bu tür anlaşmazlıklar sıklaşırsa, velayet düzenlemesinin yeniden gözden geçirilmesi de gündeme gelebilir. Kaynak: Türk Medeni Kanunu (TMK) m. 336/3, 339 ve Yargıtay içtihatları. "
velayet_hakki,"Velayet hakkı, velayet sahibi ebeveynin yeniden evlenmesi durumunda kendiliğinden ortadan kalkar mı veya değiştirilebilir mi? ","Hayır, velayet hakkı, velayet sahibi ebeveynin yeniden evlenmesiyle kendiliğinden ortadan kalkmaz veya değişmez. Türk Medeni Kanunu, velayetin değiştirilmesi için ""çocuğun üstün menfaatinin gerektirmesi"" şartını arar. Yeni evlilik, tek başına velayetin değiştirilmesi nedeni değildir. Ancak, yeni evlilikle birlikte çocuğun yaşam koşullarında olumsuz bir değişiklik olması, üvey ebeveyn ile uyumsuzluk yaşaması veya çocuğun gelişiminin tehlikeye girmesi gibi durumlarda, diğer ebeveyn veya Cumhuriyet Savcısı velayetin değiştirilmesi davası açabilir. Mahkeme, bu durumda çocuğun menfaatini esas alarak karar verir. Kaynak: Türk Medeni Kanunu (TMK) m. 349 ve Yargıtay içtihatları. "
velayet_hakki,"Çocuğun velayeti, baba veya anneden birine bırakıldıktan sonra, velayet sahibi ebeveynin vefat etmesi halinde velayet otomatik olarak diğer ebeveyne mi geçer? ","Hayır, velayet sahibi ebeveynin vefat etmesi durumunda, velayet otomatik olarak diğer ebeveyne geçmez. Vefat eden ebeveynin velayeti altındaki çocuk, mahkeme tarafından belirlenecek yeni bir veli veya vasiye ihtiyaç duyar. Bu durumda, sağ kalan ebeveynin velayeti alabilmesi için Aile Mahkemesi'ne başvurarak velayetin kendisine verilmesini talep etmesi gerekir. Mahkeme, sağ kalan ebeveynin velayet ehliyetini, çocuğa bakabilme kapasitesini ve en önemlisi çocuğun üstün menfaatini değerlendirerek bir karar verir. Çocuğun menfaatine aykırı bir durum yoksa genellikle sağ kalan ebeveyne verilir. Kaynak: Türk Medeni Kanunu (TMK) m. 336/3. "
velayet_hakki,"Velayet hakkı kendisine bırakılmayan ebeveynin, çocukla kişisel ilişki kurma hakkı (görüşme hakkı) hangi durumlarda kısıtlanabilir veya tamamen kaldırılabilir? ","Velayet hakkı kendisine bırakılmayan ebeveynin çocukla kişisel ilişki kurma hakkı, Türk Medeni Kanunu tarafından güvence altına alınmıştır. Bu hak, ancak çocuğun menfaati tehlikede ise kısıtlanabilir veya çok istisnai durumlarda tamamen kaldırılabilir. Örnek durumlar şunlardır:
Ebeveynin çocuğa karşı şiddet uygulaması veya istismar etmesi.
Ebeveynin uyuşturucu madde bağımlılığı veya alkol bağımlılığı gibi çocuğun gelişimini olumsuz etkileyecek kötü alışkanlıklara sahip olması.
Ebeveynin çocuğa kötü örnek olması veya çocuğun ahlaki gelişimini tehdit etmesi.
Ebeveynin çocuğu kaçırma veya velayet sahibi ebeveyn aleyhine kışkırtma riski. Bu durumların varlığı halinde, velayet sahibi ebeveyn veya Cumhuriyet Savcısı mahkemeye başvurarak kişisel ilişkinin kısıtlanmasını veya kaldırılmasını talep edebilir. Kaynak: Türk Medeni Kanunu (TMK) m. 324 ve Yargıtay içtihatları.
"
velayet_hakki,"Velayet davası devam ederken, çocuk kendisi mahkemeye başvurarak veya hâkime dilekçe sunarak hangi ebeveynle kalmak istediğini beyan edebilir mi ve bu beyanın hukuki geçerliliği nedir? ","Evet, velayet davalarında çocukların beyanları önemlidir. Türk Medeni Kanunu, hâkimin karar verirken çocuğun üstün menfaatini gözetmesi gerektiğini ve çocuğun görüşünü almak zorunda olduğunu belirtir. Özellikle 8 yaş ve üzeri çocukların kendilerini ifade edebilecek olgunluğa eriştikleri kabul edilir ve hâkimler genellikle pedagog veya psikolog eşliğinde çocukların beyanlarını alır. Çocuğun görüşü, hâkim için bağlayıcı olmamakla birlikte, kararı etkileyen önemli bir faktördür. Hâkim, çocuğun beyanını, yaşı, idrak yeteneği, beyanın serbest iradeyle yapılıp yapılmadığı ve ebeveynlerin etkisi altında kalıp kalmadığı gibi faktörleri dikkate alarak değerlendirir. Kaynak: Türk Medeni Kanunu (TMK) m. 339, Çocuk Hakları Sözleşmesi (m. 12) ve Yargıtay içtihatları. "
velayet_hakki,"Velayet hakkı kendisine bırakılan ebeveynin yurt dışına temelli olarak taşınması durumunda, velayetin değiştirilmesi davası açılabilir mi ve bu süreçte çocuğun menfaati nasıl korunur? ","Evet, velayet sahibi ebeveynin yurt dışına temelli olarak taşınması, velayetin değiştirilmesi davası açılması için haklı bir neden teşkil edebilir. Bu durum, çocuğun diğer ebeveyniyle kişisel ilişkisinin düzenli kurulmasını zorlaştıracağı veya imkansız hale getireceği için çocuğun menfaatine aykırı görülebilir. Mahkeme, yurt dışına taşınma planlarını, çocuğun diğer ebeveyniyle olan bağını, çocuğun yaşı ve uyum yeteneğini, yurt dışındaki eğitim ve yaşam koşullarını ve en önemlisi çocuğun bu durumdan nasıl etkileneceğini değerlendirir. Çocuğun üstün menfaati, yurt dışına gitmesine mi yoksa Türkiye'de kalmasına mı uygunsa o yönde karar verilir. Kaynak: Türk Medeni Kanunu (TMK) m. 349 ve Yargıtay içtihatları. "
velayet_hakki,"Çocuğun velayeti bir ebeveyne bırakıldıktan sonra, velayet sahibi olmayan diğer ebeveynin sürekli olarak çocukla ilgili kararlara müdahale etmesi veya velayet sahibi ebeveyni taciz etmesi durumunda ne yapılabilir? ","Velayet hakkı, kendisine verilen ebeveyne tanınan geniş yetkiler ve sorumluluklar demektir. Velayet sahibi olmayan ebeveynin, kişisel ilişki kurma hakkının sınırlarını aşarak sürekli müdahale etmesi veya taciz etmesi durumunda, velayet sahibi ebeveynin hukuki yollara başvurma hakkı vardır:
Kişisel İlişkinin Yeniden Düzenlenmesi: Mahkemeden kişisel ilişkinin kısıtlanması veya yeniden düzenlenmesi talep edilebilir (örneğin, görüşmelerin denetimli yapılması).
Aileyi Koruma ve Kadına Karşı Şiddetin Önlenmesi Kanunu (6284 sayılı Kanun): Eğer müdahale veya taciz ""şiddet"" niteliği taşıyorsa, velayet sahibi ebeveyn, 6284 sayılı Kanun kapsamında koruyucu veya önleyici tedbir kararları alınmasını talep edebilir (uzaklaştırma, iletişim yasağı vb.).
Tazminat Davası: Sürekli taciz nedeniyle mağduriyet oluşmuşsa, manevi tazminat davası açılabilir. Kaynak: Türk Medeni Kanunu (TMK) m. 324, 6284 sayılı Kanun ve Yargıtay içtihatları.
"
velayet_hakki,Evlilik dışı doğan çocuğun velayeti kime aittir ve babanın velayet hakkını kazanması için hangi şartlar aranır? ,"Evlilik dışı doğan çocuğun velayeti doğrudan anneye aittir. Babanın velayet hakkını kazanabilmesi için öncelikle çocukla arasında hukuki soybağının kurulmuş olması gerekir. Soybağı, babanın çocuğu tanıması (tanıma beyanı) veya babalık davası yoluyla kurulabilir. Soybağı kurulduktan sonra, baba eğer annenin velayetini kullanmasında çocuğun menfaatine aykırı bir durum olduğunu iddia ediyorsa veya annenin vefatı gibi durumlar söz konusuysa, Aile Mahkemesi'ne başvurarak velayetin kendisine verilmesini talep edebilir. Mahkeme, çocuğun üstün menfaatini esas alarak karar verir. Kaynak: Türk Medeni Kanunu (TMK) m. 337, 292, 295. "
